cms_id,fyear,system,prov_type,own_type,cbsa,urban_rural
214000,2018,SHEPPARD PRATT HEALTH SYSTEM,Psychiatric Hospitals,Private (Not For Profit),"Baltimore-Columbia-Towson, MD",Urban
213300,2018,UNIVERSITY OF MARYLAND MEDICAL SYSTE,Childrens Hospitals,Private (Not For Profit),"Baltimore-Columbia-Towson, MD",Urban
212003,2018,MDH,Long-Term Hospitals,State,"Salisbury, MD-DE",Urban
214002,2018,MDH,Psychiatric Hospitals,State,Rural Maryland,Rural
214003,2018,,Psychiatric Hospitals,Private (Not For Profit),"Hagerstown-Martinsburg, MD-WV",Urban
214004,2018,MDH,Psychiatric Hospitals,State,"Baltimore-Columbia-Towson, MD",Urban
214012,2018,MDH,Psychiatric Hospitals,Local,"Cumberland, MD-WV",Urban
214013,2017,ADVENTIST HEALTHCARE,Psychiatric Hospitals,Private (Not For Profit),"Silver Spring-Frederick-Rockville, MD",Urban
214018,2018,MDH,Psychiatric Hospitals,State,"Baltimore-Columbia-Towson, MD",Urban
220001,2018,UMASS MEMORIAL HEALTH CARE,Short-Term,Other,"Worcester, MA-CT",Urban
220002,2018,CAREGROUP HEALTHCARE SYSTEM,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220008,2018,,Short-Term,Other,"Providence-Warwick, RI-MA",Urban
220010,2018,,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220011,2018,CAMBRIDGE HEALTH ALLIANCE,Short-Term,Local,"Cambridge-Newton-Framingham, MA",Urban
220012,2018,CAPE COD HEALTHCARE,Short-Term,Private (Not For Profit),"Barnstable Town, MA",Urban
220015,2018,PARTNERS HEALTHCARE,Short-Term,Private (Not For Profit),"Springfield, MA",Urban
220016,2018,BAYSTATE HEALTH,Short-Term,Private (Not For Profit),Rural Massachusetts,Rural
220017,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Boston, MA",Urban
220019,2018,,Short-Term,Private (Not For Profit),"Worcester, MA-CT",Urban
220020,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Providence-Warwick, RI-MA",Urban
220024,2018,,Short-Term,Private (Not For Profit),"Springfield, MA",Urban
220029,2018,,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220030,2018,BAYSTATE HEALTH,Short-Term,Other,"Springfield, MA",Urban
220031,2018,,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220033,2018,LAHEY HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220035,2018,PARTNERS HEALTHCARE,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220036,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Boston, MA",Urban
220046,2018,BERKSHIRE HEALTH SYSTEM,Short-Term,Other,"Pittsfield, MA",Urban
220049,2018,UMASS MEMORIAL HEALTH CARE,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220050,2016,BAYSTATE HEALTH,Short-Term,Private (Not For Profit),"Springfield, MA",Urban
220058,2017,UMASS MEMORIAL HEALTH CARE,Short-Term,Other,"Worcester, MA-CT",Urban
220060,2018,CAREGROUP HEALTHCARE SYSTEM,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220062,2018,,Short-Term,Private (For Profit),"Worcester, MA-CT",Urban
220063,2018,WELLFORCE,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220065,2018,BAYSTATE HEALTH,Short-Term,Private (Not For Profit),"Springfield, MA",Urban
220066,2018,TRINITY HEALTH,Short-Term,Private (Not For Profit),"Springfield, MA",Urban
220070,2018,WELLFORCE,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
222003,2018,,Long-Term Hospitals,State,"Cambridge-Newton-Framingham, MA",Urban
220073,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Providence-Warwick, RI-MA",Urban
220052,2018,,Short-Term,Other,"Boston, MA",Urban
220071,2018,PARTNERS HEALTHCARE,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220074,2018,SOUTHCOAST HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Providence-Warwick, RI-MA",Urban
220075,2018,,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220077,2018,BAYSTATE HEALTH,Short-Term,Private (Not For Profit),"Springfield, MA",Urban
220080,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Cambridge-Newton-Framingham, MA",Urban
220083,2018,CAREGROUP HEALTHCARE SYSTEM,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220084,2018,,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220086,2018,CAREGROUP HEALTHCARE SYSTEM,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220088,2018,CAREGROUP HEALTHCARE SYSTEM,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220090,2018,,Short-Term,Other,"Worcester, MA-CT",Urban
220095,2018,,Short-Term,Private (Not For Profit),"Worcester, MA-CT",Urban
220098,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Cambridge-Newton-Framingham, MA",Urban
220101,2018,PARTNERS HEALTHCARE,Short-Term,Other,"Cambridge-Newton-Framingham, MA",Urban
220105,2018,LAHEY HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220108,2018,CAREGROUP HEALTHCARE SYSTEM,Short-Term,Federal,"Boston, MA",Urban
220110,2018,PARTNERS HEALTHCARE,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220111,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Boston, MA",Urban
220116,2018,WELLFORCE,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220119,2018,PARTNERS HEALTHCARE,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220126,2018,STEWARD HEALTH CARE SYSTEM,Short-Term,Private (For Profit),"Boston, MA",Urban
220135,2018,CAPE COD HEALTHCARE,Short-Term,Private (Not For Profit),"Barnstable Town, MA",Urban
220100,2018,,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220154,2015,,Short-Term,State,"Boston, MA",Urban
220162,2018,,Short-Term,Private (Not For Profit),"Boston, MA",Urban
220163,2018,UMASS MEMORIAL HEALTH CARE,Short-Term,Private (Not For Profit),"Worcester, MA-CT",Urban
220171,2018,LAHEY HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220175,2018,TENET HEALTHCARE,Short-Term,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
220176,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Worcester, MA-CT",Urban
220177,2018,PARTNERS HEALTHCARE,Short-Term,Private (Not For Profit),Rural Massachusetts,Rural
221300,2018,PARTNERS HEALTHCARE SYSTEM,Critical Access Hospitals,Private (Not For Profit),Rural Massachusetts,Rural
221302,2018,BERKSHIRE HEALTH SYSTEM,Critical Access Hospitals,Private (Not For Profit),"Pittsfield, MA",Urban
221303,2018,,Critical Access Hospitals,Private (Not For Profit),"Worcester, MA-CT",Urban
221990,2017,,Other Hospital Types,Church,"Cambridge-Newton-Framingham, MA",Urban
222002,2018,CURAHEALTH HOSPITALS,Long-Term Hospitals,Private (For Profit),"Boston, MA",Urban
222000,2018,PARTNERS HEALTHCARE SYSTEM,Long-Term Hospitals,Church,"Cambridge-Newton-Framingham, MA",Urban
222007,2018,HEBREW SENIORLIFE  INC.,Long-Term Hospitals,Private (Not For Profit),"Boston, MA",Urban
222023,2018,,Long-Term Hospitals,State,"Springfield, MA",Urban
222025,2015,,Long-Term Hospitals,Local,"Boston, MA",Urban
222027,2018,STEWARD HEALTH CARE SYSTEM,Long-Term Hospitals,Private (Not For Profit),"Boston, MA",Urban
222026,2015,PARTNERS HEALTCARE SYSTEM,Long-Term Hospitals,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
222043,2018,VIBRA MANAGEMENT LLC,Long-Term Hospitals,Private (For Profit),"Providence-Warwick, RI-MA",Urban
222044,2017,CURAHEALTH HOSPITALS,Long-Term Hospitals,Private (For Profit),"Cambridge-Newton-Framingham, MA",Urban
222045,2017,CURAHEALTH HOSPITALS,Long-Term Hospitals,Private (Not For Profit),"Boston, MA",Urban
222046,2018,VIBRA MANAGEMENT LLC,Long-Term Hospitals,Private (For Profit),"Springfield, MA",Urban
222047,2018,,Long-Term Hospitals,Private (For Profit),"Cambridge-Newton-Framingham, MA",Urban
223026,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Cambridge-Newton-Framingham, MA",Urban
223027,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Boston, MA",Urban
222048,2018,,Long-Term Hospitals,Private (For Profit),"Worcester, MA-CT",Urban
223029,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Worcester, MA-CT",Urban
223030,2018,HEALTHSOUTH,Rehabilitation Hospitals,Private (For Profit),"Springfield, MA",Urban
223032,2018,PARTNERS HEALTHCARE SYSTEM,Rehabilitation Hospitals,Private (Not For Profit),"Barnstable Town, MA",Urban
223300,2018,,Childrens Hospitals,Private (Not For Profit),"Boston, MA",Urban
223034,2018,PARTNERS HEALTHCARE SYSTEM,Rehabilitation Hospitals,Private (For Profit),"Boston, MA",Urban
223302,2018,,Childrens Hospitals,Private (Not For Profit),"Boston, MA",Urban
223303,2017,,Childrens Hospitals,Private (Not For Profit),"Springfield, MA",Urban
223304,2017,,Childrens Hospitals,Private (For Profit),"Boston, MA",Urban
224001,2018,,Psychiatric Hospitals,State,"Providence-Warwick, RI-MA",Urban
224007,2018,PARTNERS HEALTHCARE SYSTEM,Psychiatric Hospitals,Private (Not For Profit),"Cambridge-Newton-Framingham, MA",Urban
224013,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Boston, MA",Urban
224018,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Boston, MA",Urban
224021,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Providence-Warwick, RI-MA",Urban
224022,2018,,Psychiatric Hospitals,Private (For Profit),"Boston, MA",Urban
224023,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Boston, MA",Urban
224028,2018,,Psychiatric Hospitals,State,"Providence-Warwick, RI-MA",Urban
224031,2018,,Psychiatric Hospitals,State,"Barnstable Town, MA",Urban
224038,2017,,Psychiatric Hospitals,Federal,"Cambridge-Newton-Framingham, MA",Urban
224040,2018,,Psychiatric Hospitals,State,"Boston, MA",Urban
224039,2018,,Psychiatric Hospitals,Private (For Profit),"Cambridge-Newton-Framingham, MA",Urban
224041,2018,ACADIA HEALTHCARE,Psychiatric Hospitals,Private (For Profit),"Providence-Warwick, RI-MA",Urban
224042,2018,,Psychiatric Hospitals,Private (Not For Profit),"Boston, MA",Urban
224043,2017,,Psychiatric Hospitals,Private (For Profit),"Worcester, MA-CT",Urban
224033,2016,,Psychiatric Hospitals,Private (For Profit),"Cambridge-Newton-Framingham, MA",Urban
230002,2018,TRINITY HEALTH,Short-Term,Private (Not For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230003,2018,SPECTRUM HEALTH,Short-Term,Private (Not For Profit),"Grand Rapids-Wyoming, MI",Urban
230004,2015,TRINITY HEALTH,Short-Term,Church,"Muskegon, MI",Urban
230005,2017,PROMEDICA HEALTH SYSTEM,Short-Term,Private (Not For Profit),Rural Michigan,Rural
230015,2018,,Short-Term,Hospital District or Authority,Rural Michigan,Rural
230013,2017,,Short-Term,Private (For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230017,2017,BRONSON HEALTHCARE,Short-Term,Private (Not For Profit),"Kalamazoo-Portage, MI",Urban
230019,2018,ASCENSION HEALTH,Short-Term,Church,"Warren-Troy-Farmington Hills, MI",Urban
230020,2018,BEAUMONT HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230021,2018,LAKELAND HEALTHCARE,Short-Term,Private (Not For Profit),"Niles-Benton Harbor, MI",Urban
230022,2018,,Short-Term,Local,Rural Michigan,Rural
230024,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230029,2018,TRINITY HEALTH,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230030,2018,MIDMICHIGAN HEALTH,Short-Term,Private (Not For Profit),Rural Michigan,Rural
230031,2018,PRIME HEALTHCARE SERVICES,Short-Term,Church,"Warren-Troy-Farmington Hills, MI",Urban
230035,2018,SPECTRUM HEALTH,Short-Term,Other,"Grand Rapids-Wyoming, MI",Urban
230036,2018,MIDMICHIGAN HEALTH,Short-Term,Private (For Profit),Rural Michigan,Rural
230037,2018,,Short-Term,Private (Not For Profit),Rural Michigan,Rural
230038,2018,SPECTRUM HEALTH,Short-Term,Private (Not For Profit),"Grand Rapids-Wyoming, MI",Urban
230040,2018,SPECTRUM HEALTH,Short-Term,Other,"Grand Rapids-Wyoming, MI",Urban
230041,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Private (Not For Profit),"Bay City, MI",Urban
230046,2018,MICHIGAN MEDICINE,Short-Term,Private (Not For Profit),"Ann Arbor, MI",Urban
230047,2018,HENRY FORD HEALTH SYSTEM,Short-Term,Private (For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230053,2018,HENRY FORD HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230054,2018,LIFEPOINT HEALTH,Short-Term,Local,Rural Michigan,Rural
230055,2018,,Short-Term,Local,Rural Michigan,Rural
230058,2018,MUNSON HEALTHCARE,Short-Term,Church,Rural Michigan,Rural
230059,2018,TRINITY HEALTH,Short-Term,Church,"Grand Rapids-Wyoming, MI",Urban
230066,2018,TRINITY HEALTH,Short-Term,Private (Not For Profit),"Muskegon, MI",Urban
230069,2018,TRINITY HEALTH,Short-Term,Other,"Warren-Troy-Farmington Hills, MI",Urban
230070,2018,COVENANT HEALTHCARE,Short-Term,Private (Not For Profit),"Saginaw, MI",Urban
230071,2018,,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230072,2018,,Short-Term,Private (Not For Profit),"Grand Rapids-Wyoming, MI",Urban
230075,2018,BRONSON HEALTHCARE,Short-Term,Private (For Profit),"Battle Creek, MI",Urban
230077,2018,ASCENSION HEALTH,Short-Term,Church,"Saginaw, MI",Urban
230078,2018,LAKELAND HEALTHCARE,Short-Term,Private (Not For Profit),"Niles-Benton Harbor, MI",Urban
230080,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Private (Not For Profit),Rural Michigan,Rural
230081,2018,MUNSON HEALTHCARE,Short-Term,Church,Rural Michigan,Rural
230085,2018,BRONSON HEALTHCARE,Short-Term,Hospital District or Authority,"Kalamazoo-Portage, MI",Urban
230089,2018,BEAUMONT HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230092,2018,HENRY FORD HEALTH SYSTEM,Short-Term,Other,"Jackson, MI",Urban
230093,2018,SPECTRUM HEALTH,Short-Term,Local,Rural Michigan,Rural
230095,2018,,Short-Term,Local,Rural Michigan,Rural
230096,2018,,Short-Term,Local,Rural Michigan,Rural
230097,2018,MUNSON HEALTHCARE,Short-Term,Other,Rural Michigan,Rural
230099,2017,PROMEDICA HEALTH SYSTEM,Short-Term,Other,"Monroe, MI",Urban
230100,2018,ASCENSION HEALTH,Short-Term,Hospital District or Authority,Rural Michigan,Rural
230104,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230105,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Other,Rural Michigan,Rural
230108,2018,LIFEPOINT HEALTH,Short-Term,Other,Rural Michigan,Rural
230110,2018,SPECTRUM HEALTH,Short-Term,Other,Rural Michigan,Rural
230117,2018,ASCENSION HEALTH,Short-Term,Other,"Kalamazoo-Portage, MI",Urban
230118,2018,,Short-Term,Private (Not For Profit),Rural Michigan,Rural
230121,2018,,Short-Term,Other,Rural Michigan,Rural
230130,2018,BEAUMONT HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230132,2018,,Short-Term,Other,"Flint, MI",Urban
230133,2018,MUNSON HEALTHCARE,Short-Term,Private (Not For Profit),Rural Michigan,Rural
230141,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Private (Not For Profit),"Flint, MI",Urban
230142,2018,BEAUMONT HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230144,2017,,Short-Term,Hospital District or Authority,"Ann Arbor, MI",Urban
230146,2018,HENRY FORD HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230151,2018,BEAUMONT HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230156,2018,TRINITY HEALTH,Short-Term,Church,"Ann Arbor, MI",Urban
230165,2018,ASCENSION HEALTH,Short-Term,Church,"Detroit-Dearborn-Livonia, MI",Urban
230167,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Private (Not For Profit),"Lansing-East Lansing, MI",Urban
230174,2018,,Short-Term,Hospital District or Authority,"Grand Rapids-Wyoming, MI",Urban
230176,2018,BEAUMONT HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230180,2018,MIDMICHIGAN HEALTH,Short-Term,Other,Rural Michigan,Rural
230193,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230195,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230197,2018,ASCENSION HEALTH,Short-Term,Church,"Flint, MI",Urban
230207,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230208,2018,SPARROW HEALTH SYSTEM,Short-Term,Other,"Grand Rapids-Wyoming, MI",Urban
230217,2018,,Short-Term,Other,"Battle Creek, MI",Urban
230222,2018,MIDMICHIGAN HEALTH,Short-Term,Other,"Midland, MI",Urban
230227,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230230,2018,SPARROW HEALTH SYSTEM,Short-Term,Other,"Lansing-East Lansing, MI",Urban
230236,2018,MICHIGAN MEDICINE,Short-Term,Private (Not For Profit),"Grand Rapids-Wyoming, MI",Urban
230239,2018,,Short-Term,Private (Not For Profit),Rural Michigan,Rural
230241,2018,ASCENSION HEALTH,Short-Term,Hospital District or Authority,"Warren-Troy-Farmington Hills, MI",Urban
230244,2018,PRIME HEALTHCARE SERVICES,Short-Term,Private (Not For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230254,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230259,2018,TRINITY HEALTH,Short-Term,Private (Not For Profit),"Ann Arbor, MI",Urban
230264,2018,NATIONAL SURGICAL HEALTHCARE,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230269,2018,BEAUMONT HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230270,2018,BEAUMONT HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230273,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
231304,2018,,Critical Access Hospitals,Local,Rural Michigan,Rural
230275,2018,,Short-Term,Other,"Saginaw, MI",Urban
230216,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230277,2018,TENET HEALTHCARE,Short-Term,Private (For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230279,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230297,2018,MCLAREN HEALTH CARE CORPORATION,Short-Term,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
230301,2017,,Short-Term,Private (For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230302,2018,HENRY FORD HEALTH SYSTEM,Short-Term,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
230303,2018,MUNSON HEALTHCARE,Short-Term,Other,Rural Michigan,Rural
231300,2018,MUNSON HEALTHCARE,Critical Access Hospitals,Local,Rural Michigan,Rural
231303,2017,,Critical Access Hospitals,Local,Rural Michigan,Rural
231301,2018,MUNSON HEALTHCARE,Critical Access Hospitals,Hospital District or Authority,Rural Michigan,Rural
231305,2018,ASCENSION HEALTH,Critical Access Hospitals,Church,Rural Michigan,Rural
231306,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231307,2018,,Critical Access Hospitals,Local,Rural Michigan,Rural
231308,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231309,2018,ASPIRUS,Critical Access Hospitals,Local,Rural Michigan,Rural
231310,2018,,Critical Access Hospitals,Other,Rural Michigan,Rural
231311,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231312,2018,,Critical Access Hospitals,Private (Not For Profit),"Grand Rapids-Wyoming, MI",Urban
231313,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231314,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231315,2018,ASCENSION HEALTH,Critical Access Hospitals,Private (Not For Profit),"South Bend-Mishawaka, IN-MI",Urban
231321,2018,LIFEPOINT HEALTH,Critical Access Hospitals,Private (For Profit),Rural Michigan,Rural
231316,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231317,2018,SPECTRUM HEALTH,Critical Access Hospitals,Private (Not For Profit),"Grand Rapids-Wyoming, MI",Urban
231318,2018,ASPIRUS,Critical Access Hospitals,Other,Rural Michigan,Rural
231319,2018,ASPIRUS,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231320,2018,TRINITY HEALTH,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231322,2018,MUNSON HEALTHCARE,Critical Access Hospitals,Other,Rural Michigan,Rural
231323,2018,SPECTRUM HEALTH,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231324,2018,,Critical Access Hospitals,Private (Not For Profit),"Lansing-East Lansing, MI",Urban
231325,2018,MIDMICHIGAN HEALTH,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231326,2018,SPARROW HEALTH SYSTEM,Critical Access Hospitals,Private (For Profit),"Lansing-East Lansing, MI",Urban
231327,2018,,Critical Access Hospitals,Other,"Lansing-East Lansing, MI",Urban
231328,2018,,Critical Access Hospitals,Other,Rural Michigan,Rural
231330,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231329,2018,,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231331,2018,SPARROW HEALTH SYSTEM,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231332,2018,BRONSON HEALTHCARE,Critical Access Hospitals,Private (Not For Profit),"Kalamazoo-Portage, MI",Urban
231333,2018,ASPIRUS,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
231334,2018,PROMEDICA HEALTH SYSTEMS,Critical Access Hospitals,Federal,Rural Michigan,Rural
231337,2018,OSF HEALTHCARE,Critical Access Hospitals,Church,Rural Michigan,Rural
232012,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Flint, MI",Urban
232019,2018,VIBRA HEALTHCARE  VIBRA MANAGEMENT,Long-Term Hospitals,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
232020,2018,MCLAREN HEALTH CARE CORPORATION,Long-Term Hospitals,Private (Not For Profit),"Bay City, MI",Urban
231338,2018,SPECTRUM HEALTH,Critical Access Hospitals,Private (Not For Profit),Rural Michigan,Rural
232021,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Muskegon, MI",Urban
232023,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Warren-Troy-Farmington Hills, MI",Urban
232024,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Ann Arbor, MI",Urban
232027,2017,KINDRED HEALTHCARE,Long-Term Hospitals,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
232029,2018,NAME  SELECT MEDICAL,Long-Term Hospitals,Private (Not For Profit),"Grand Rapids-Wyoming, MI",Urban
232030,2017,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Warren-Troy-Farmington Hills, MI",Urban
232031,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
232032,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
232026,2017,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Grand Rapids-Wyoming, MI",Urban
232033,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Saginaw, MI",Urban
232034,2018,ASCENSION HEALTH,Long-Term Hospitals,Church,Rural Michigan,Rural
232035,2018,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (Not For Profit),"Battle Creek, MI",Urban
232036,2018,HENRY FORD HEALTH SYSTEM,Long-Term Hospitals,Private (Not For Profit),"Jackson, MI",Urban
232037,2018,,Long-Term Hospitals,Private (Not For Profit),"Lansing-East Lansing, MI",Urban
232038,2017,SELECT MEDICAL CORPORATION,Long-Term Hospitals,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
232039,2018,PIONEER HEALTH CARE MANAGEMENT,Long-Term Hospitals,Private (For Profit),"Warren-Troy-Farmington Hills, MI",Urban
233026,2018,,Rehabilitation Hospitals,Private (Not For Profit),"Grand Rapids-Wyoming, MI",Urban
233027,2018,TENET HEALTHCARE,Rehabilitation Hospitals,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
233300,2018,TENET HEALTHCARE,Childrens Hospitals,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
234006,2018,,Psychiatric Hospitals,Federal,"Grand Rapids-Wyoming, MI",Urban
234011,2018,HENRY FORD HEALTH SYSTEM,Psychiatric Hospitals,Private (Not For Profit),"Warren-Troy-Farmington Hills, MI",Urban
234021,2018,ACADIA HEALTHCARE,Psychiatric Hospitals,Private (For Profit),"Warren-Troy-Farmington Hills, MI",Urban
234023,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Warren-Troy-Farmington Hills, MI",Urban
234025,2018,NA,Psychiatric Hospitals,State,Rural Michigan,Rural
234026,2018,,Psychiatric Hospitals,State,"Kalamazoo-Portage, MI",Urban
234035,2018,MICHIGAN DEPARTMENT OF COMMUNITY HEA,Psychiatric Hospitals,State,"Detroit-Dearborn-Livonia, MI",Urban
234030,2018,UNIVERSAL HEALTH SERVICES,Psychiatric Hospitals,Private (For Profit),"Grand Rapids-Wyoming, MI",Urban
234038,2018,ACADIA HEALTHCARE,Psychiatric Hospitals,Private (For Profit),"Detroit-Dearborn-Livonia, MI",Urban
